Sample Number (10000 samples per second),LoadCell (),X1 (),X2 (),X3 (),EPOSPosition (),EPOSCurrent ()
4854,291.8,2.75,19.86,-7618.45,27903.0,2160.0
4855,313.55,2.85,-18.23,7854.77,27772.0,61808.0
4856,310.02,2.76,21.04,-7743.07,27512.0,3014.0
4857,298.62,2.87,-17.67,7304.64,27633.0,64100.0
4858,294.71,2.78,18.85,-7206.07,27781.0,3993.0
4859,276.56,2.87,-17.18,6654.62,28087.0,63111.0
4860,256.97,2.79,16.1,-6874.8,28213.0,4490.0
4861,261.97,2.87,-18.28,6813.96,28530.0,63695.0
4862,247.99,2.78,15.79,-6910.82,28648.0,63954.0
4863,263.91,2.86,-18.76,7071.38,28626.0,61949.0
4864,251.28,2.76,16.59,-7136.45,28418.0,2411.0
4865,276.24,2.85,-19.09,7469.63,28420.0,61689.0
4866,266.54,2.75,18.26,-7472.56,28226.0,2020.0
4867,284.9,2.84,-19.1,7657.05,28243.0,61426.0
4868,278.84,2.75,19.18,-7587.15,28046.0,2558.0
4869,293.49,2.84,-18.75,7688.29,28075.0,61625.0
4870,288.27,2.75,19.69,-7605.21,27887.0,2844.0
